date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,yr_built,zipcode,lat,long
2014-10-13,221900.0,3.0,1.0,1180.0,5650.0,1.0,0.0,0.0,3,7,0,1955,98178,47.5112,-122.257
2014-12-09,538000.0,3.0,2.25,2570.0,7242.0,2.0,0.0,0.0,3,7,1,1951,98125,47.721000000000004,-122.319
2015-02-25,180000.0,2.0,1.0,770.0,10000.0,1.0,0.0,0.0,3,6,0,1933,98028,47.7379,-122.23299999999999
2014-12-09,604000.0,4.0,3.0,1960.0,5000.0,1.0,0.0,0.0,5,7,1,1965,98136,47.5208,-122.39299999999999
2015-02-18,510000.0,3.0,2.0,1680.0,8080.0,1.0,0.0,0.0,3,8,0,1987,98074,47.6168,-122.045
2014-06-27,257500.0,3.0,2.25,1715.0,6819.0,2.0,0.0,0.0,3,7,0,1995,98003,47.3097,-122.32700000000001
2015-01-15,291850.0,3.0,1.5,1060.0,9711.0,1.0,0.0,0.0,3,7,0,1963,98198,47.4095,-122.315
2015-04-15,229500.0,3.0,1.0,1780.0,7470.0,1.0,0.0,0.0,3,7,1,1960,98146,47.5123,-122.337
2015-03-12,323000.0,3.0,2.5,1890.0,6560.0,2.0,0.0,0.0,3,7,0,2003,98038,47.3684,-122.031
2015-04-03,662500.0,3.0,2.5,3560.0,9796.0,1.0,0.0,0.0,3,8,1,1965,98007,47.6007,-122.145
2014-05-27,468000.0,2.0,1.0,1160.0,6000.0,1.0,0.0,0.0,4,7,1,1942,98115,47.69,-122.292
2014-05-28,310000.0,3.0,1.0,1430.0,19901.0,1.5,0.0,0.0,4,7,0,1927,98028,47.7558,-122.229
2014-10-07,400000.0,3.0,1.75,1370.0,9680.0,1.0,0.0,0.0,4,7,0,1977,98074,47.6127,-122.045
2015-03-12,530000.0,5.0,2.0,1810.0,4850.0,1.5,0.0,0.0,3,7,0,1900,98107,47.67,-122.39399999999999
2015-01-24,650000.0,4.0,3.0,2950.0,5000.0,2.0,0.0,3.0,3,9,1,1979,98126,47.5714,-122.375
2014-07-31,395000.0,3.0,2.0,1890.0,14040.0,2.0,0.0,0.0,3,7,0,1994,98019,47.7277,-121.962
2014-05-29,485000.0,4.0,1.0,1600.0,4300.0,1.5,0.0,0.0,4,7,0,1916,98103,47.6648,-122.34299999999999
2014-12-05,189000.0,2.0,1.0,1200.0,9850.0,1.0,0.0,0.0,4,7,0,1921,98002,47.3089,-122.21
2015-04-24,230000.0,3.0,1.0,1250.0,9774.0,1.0,0.0,0.0,4,7,0,1969,98003,47.3343,-122.306
2014-05-14,385000.0,4.0,1.75,1620.0,4980.0,1.0,0.0,0.0,4,7,1,1947,98133,47.7025,-122.34100000000001
2014-08-26,2000000.0,3.0,2.75,3050.0,44867.0,1.0,0.0,4.0,3,9,1,1968,98040,47.5316,-122.23299999999999
2014-07-03,285000.0,5.0,2.5,2270.0,6300.0,2.0,0.0,0.0,3,8,0,1995,98092,47.3266,-122.169
2014-05-16,252700.0,2.0,1.5,1070.0,9643.0,1.0,0.0,0.0,3,7,0,1985,98030,47.3533,-122.166
2014-11-20,329000.0,3.0,2.25,2450.0,6500.0,2.0,0.0,0.0,4,8,0,1985,98030,47.3739,-122.17200000000001
2014-11-03,233000.0,3.0,2.0,1710.0,4697.0,1.5,0.0,0.0,5,6,0,1941,98002,47.3048,-122.21799999999999
2014-06-26,937000.0,3.0,1.75,2450.0,2691.0,2.0,0.0,0.0,3,8,1,1915,98119,47.6386,-122.36
2014-12-01,667000.0,3.0,1.0,1400.0,1581.0,1.5,0.0,0.0,5,8,0,1909,98112,47.6221,-122.314
2014-06-24,438000.0,3.0,1.75,1520.0,6380.0,1.0,0.0,0.0,3,7,1,1948,98115,47.695,-122.304
2015-03-02,719000.0,4.0,2.5,2570.0,7173.0,2.0,0.0,0.0,3,8,0,2005,98052,47.7073,-122.11
2014-11-10,580500.0,3.0,2.5,2320.0,3980.0,2.0,0.0,0.0,3,8,0,2003,98027,47.5391,-122.07
2014-12-01,280000.0,2.0,1.5,1190.0,1265.0,3.0,0.0,0.0,3,7,0,2005,98133,47.7274,-122.35700000000001
2014-06-24,687500.0,4.0,1.75,2330.0,5000.0,1.5,0.0,0.0,4,7,1,1929,98117,47.6823,-122.368
2014-11-10,535000.0,3.0,1.0,1090.0,3000.0,1.5,0.0,0.0,4,8,0,1929,98117,47.6889,-122.375
2014-12-03,322500.0,4.0,2.75,2060.0,6659.0,1.0,0.0,0.0,3,7,1,1981,98058,47.4276,-122.15700000000001
2014-06-13,696000.0,3.0,2.5,2300.0,3060.0,1.5,0.0,0.0,3,8,1,1930,98115,47.6827,-122.31
2014-05-28,550000.0,4.0,1.0,1660.0,34848.0,1.0,0.0,0.0,1,5,1,1933,98052,47.6621,-122.132
2014-12-30,640000.0,4.0,2.0,2360.0,6000.0,2.0,0.0,0.0,4,8,0,1904,98107,47.6702,-122.36200000000001
2015-02-13,240000.0,4.0,1.0,1220.0,8075.0,1.0,0.0,0.0,2,7,1,1969,98001,47.3341,-122.28200000000001
2014-06-20,605000.0,4.0,2.5,2620.0,7553.0,2.0,0.0,0.0,3,8,0,1996,98056,47.5301,-122.18
2014-07-15,625000.0,4.0,2.5,2570.0,5520.0,2.0,0.0,0.0,3,9,0,2000,98074,47.6145,-122.027
2014-08-11,775000.0,4.0,2.25,4220.0,24186.0,1.0,0.0,0.0,3,8,1,1984,98166,47.445,-122.34700000000001
2014-07-07,861990.0,5.0,2.75,3595.0,5639.0,2.0,0.0,0.0,3,9,0,2014,98053,47.6848,-122.016
2014-10-28,685000.0,3.0,1.0,1570.0,2280.0,2.0,0.0,0.0,3,7,0,1922,98119,47.6413,-122.36399999999999
2014-07-29,309000.0,3.0,1.0,1280.0,9656.0,1.0,0.0,0.0,4,6,1,1959,98058,47.4485,-122.175
2014-07-18,488000.0,3.0,2.5,3160.0,13603.0,2.0,0.0,0.0,3,8,0,2003,98019,47.7443,-121.977
2015-03-25,210490.0,3.0,1.0,990.0,8528.0,1.0,0.0,0.0,3,6,0,1966,98023,47.3066,-122.37100000000001
2014-07-16,785000.0,4.0,2.5,2290.0,13416.0,2.0,0.0,0.0,4,9,0,1981,98007,47.6194,-122.15100000000001
2015-04-28,450000.0,3.0,1.75,1250.0,5963.0,1.0,0.0,0.0,4,7,0,1953,98115,47.6796,-122.301
2014-09-16,228000.0,3.0,1.0,1190.0,9199.0,1.0,0.0,0.0,3,7,0,1955,98148,47.4258,-122.322
2015-02-17,345000.0,5.0,2.5,3150.0,9134.0,1.0,0.0,0.0,4,8,1,1966,98056,47.4934,-122.189
2014-12-31,600000.0,3.0,1.75,1410.0,4080.0,1.0,0.0,0.0,4,7,1,1950,98117,47.6808,-122.384
2015-02-05,585000.0,2.0,1.75,1980.0,8550.0,1.0,0.0,0.0,3,7,1,1981,98117,47.6989,-122.369
2015-03-03,920000.0,5.0,2.25,2730.0,6000.0,1.5,0.0,0.0,3,8,1,1927,98105,47.6571,-122.281
2014-05-12,885000.0,4.0,2.5,2830.0,5000.0,2.0,0.0,0.0,3,9,0,1995,98105,47.6597,-122.29
2014-08-19,292500.0,4.0,2.5,2250.0,4495.0,2.0,0.0,0.0,3,7,0,2008,98042,47.3663,-122.11399999999999
2015-04-07,301000.0,3.0,2.5,2420.0,4750.0,2.0,0.0,0.0,3,8,0,2003,98042,47.3663,-122.12200000000001
2014-08-27,951000.0,5.0,3.25,3250.0,14342.0,2.0,0.0,4.0,4,8,0,1968,98008,47.588,-122.116
2015-02-23,430000.0,4.0,3.0,1850.0,9976.0,2.0,0.0,0.0,3,8,0,1991,98059,47.5059,-122.149
2014-12-10,650000.0,3.0,2.25,2150.0,21235.0,1.0,0.0,3.0,4,8,1,1959,98166,47.4336,-122.339
2014-08-28,289000.0,3.0,1.75,1260.0,8400.0,1.0,0.0,0.0,3,7,0,1954,98148,47.4366,-122.335
2014-10-21,505000.0,3.0,1.75,2519.0,8690.0,2.0,0.0,0.0,5,8,0,1973,98166,47.4428,-122.344
2014-12-07,549000.0,3.0,1.75,1540.0,1044.0,3.0,0.0,0.0,3,8,0,2014,98115,47.6765,-122.32
2014-06-03,425000.0,3.0,2.25,1660.0,6000.0,1.0,0.0,0.0,3,7,1,1979,98122,47.6113,-122.29700000000001
2014-11-20,317625.0,3.0,2.75,2770.0,3809.0,1.5,0.0,0.0,5,7,1,1925,98144,47.5747,-122.304
2014-09-09,975000.0,4.0,2.5,2720.0,11049.0,2.0,0.0,0.0,3,10,0,1989,98004,47.5815,-122.19200000000001
2014-10-09,287000.0,4.0,2.5,2240.0,4648.0,2.0,0.0,0.0,3,7,0,2005,98001,47.3378,-122.257
2014-08-25,204000.0,3.0,1.0,1000.0,12070.0,1.0,0.0,0.0,4,7,0,1968,98042,47.3621,-122.11
2014-06-12,1330000.0,5.0,2.25,3200.0,20158.0,1.0,0.0,0.0,3,8,1,1965,98004,47.6303,-122.215
2015-01-05,325000.0,3.0,2.0,1260.0,5612.0,1.0,0.0,0.0,4,7,0,1972,98034,47.7362,-122.179
2014-06-10,571000.0,4.0,2.0,2750.0,7807.0,1.5,0.0,0.0,5,7,1,1916,98125,47.7168,-122.287
2014-07-10,360000.0,4.0,2.5,2380.0,5000.0,2.0,0.0,0.0,3,8,0,2005,98038,47.3608,-122.036
2014-11-05,832500.0,4.0,4.0,3430.0,35102.0,2.0,0.0,0.0,4,10,1,1986,98075,47.5822,-121.98700000000001
2014-10-13,380000.0,4.0,1.75,1760.0,7300.0,1.0,0.0,0.0,3,7,1,1956,98008,47.6034,-122.125
2015-04-20,480000.0,3.0,1.0,1040.0,5060.0,1.0,0.0,0.0,3,7,0,1941,98116,47.5636,-122.39399999999999
2014-06-09,410000.0,3.0,1.0,1410.0,5060.0,1.0,0.0,0.0,4,7,1,1956,98133,47.7073,-122.34
2015-03-23,720000.0,4.0,2.5,3450.0,39683.0,2.0,0.0,0.0,3,10,0,2002,98010,47.342,-122.025
2014-12-02,390000.0,3.0,2.5,2350.0,5100.0,2.0,0.0,0.0,3,8,0,2003,98038,47.3512,-122.008
2014-12-22,360000.0,4.0,2.5,1900.0,5889.0,2.0,0.0,0.0,3,7,0,1992,98038,47.349,-122.031
2014-10-28,355000.0,2.0,1.0,2020.0,6720.0,1.0,0.0,0.0,3,7,1,1948,98118,47.5474,-122.291
2015-01-28,356000.0,3.0,1.5,1680.0,8712.0,1.0,0.0,0.0,3,8,0,1964,98059,47.4811,-122.149
2014-06-02,315000.0,3.0,1.0,960.0,6634.0,1.0,0.0,0.0,3,6,0,1952,98125,47.7264,-122.31
2014-11-14,940000.0,3.0,1.5,2140.0,3600.0,2.0,0.0,0.0,3,9,1,1925,98119,47.6337,-122.365
2014-11-03,305000.0,5.0,2.25,2660.0,8400.0,1.5,0.0,0.0,5,7,0,1961,98092,47.2909,-122.189
2014-06-18,461000.0,3.0,3.25,2770.0,6278.0,2.0,0.0,0.0,3,9,1,2006,98056,47.5228,-122.199
2014-05-19,215000.0,2.0,2.25,1610.0,2040.0,2.0,0.0,0.0,4,7,0,1979,98056,47.518,-122.194
2014-09-04,335000.0,2.0,1.75,1030.0,1066.0,2.0,0.0,0.0,3,7,1,2006,98136,47.5394,-122.387
2014-05-22,243500.0,4.0,2.5,1980.0,7403.0,2.0,0.0,0.0,3,7,0,1988,98023,47.2897,-122.37200000000001
2015-03-11,1100000.0,5.0,2.75,3520.0,6353.0,2.0,0.0,0.0,4,10,0,2001,98199,47.6506,-122.391
2015-02-26,153000.0,3.0,1.0,1200.0,10500.0,1.0,0.0,0.0,3,7,0,1962,98023,47.321999999999996,-122.351
2014-07-25,430000.0,3.0,1.5,1580.0,5000.0,1.0,0.0,0.0,3,8,1,1939,98117,47.687,-122.38600000000001
2014-12-23,700000.0,3.0,1.5,1580.0,5000.0,1.0,0.0,0.0,3,8,1,1939,98117,47.687,-122.38600000000001
2014-09-08,905000.0,4.0,2.5,3300.0,10250.0,1.0,0.0,0.0,3,7,1,1946,98040,47.5873,-122.249
2015-03-30,247500.0,3.0,1.75,1960.0,15681.0,1.0,0.0,0.0,3,7,0,1967,98032,47.3576,-122.277
2014-09-12,199000.0,4.0,1.5,1160.0,6400.0,1.0,0.0,0.0,4,7,0,1975,98023,47.3036,-122.37799999999999
2014-07-11,314000.0,3.0,1.75,1810.0,41800.0,1.0,0.0,0.0,5,7,1,1980,98038,47.4109,-121.958
2014-05-16,437500.0,3.0,2.5,2320.0,36847.0,2.0,0.0,2.0,3,9,0,1992,98045,47.4838,-121.714
2014-06-11,850830.0,3.0,2.5,2070.0,13241.0,1.5,0.0,0.0,5,9,1,1910,98102,47.6415,-122.315
2014-10-27,555000.0,3.0,2.0,1980.0,3478.0,1.5,0.0,0.0,4,7,1,1929,98117,47.6775,-122.37200000000001
2014-10-07,1090000.0,3.0,2.5,2920.0,8113.0,2.0,0.0,0.0,3,8,0,1950,98004,47.5814,-122.196
2014-09-24,290000.0,3.0,1.0,1210.0,33919.0,1.0,0.0,0.0,3,7,0,1954,98058,47.4375,-122.184
2015-04-02,375000.0,3.0,2.5,2340.0,10005.0,1.0,0.0,0.0,4,8,1,1978,98058,47.4431,-122.133
2014-05-23,460000.0,3.0,1.0,1670.0,4005.0,1.5,0.0,0.0,4,7,1,1939,98117,47.6878,-122.38
2014-07-23,188500.0,2.0,1.75,1240.0,2493.0,1.0,0.0,0.0,4,8,0,1985,98198,47.3813,-122.322
2015-03-05,680000.0,4.0,2.5,3140.0,28037.0,2.0,0.0,0.0,4,10,0,1991,98077,47.7304,-122.08200000000001
2014-08-27,470000.0,5.0,1.75,2030.0,12342.0,2.0,0.0,0.0,4,7,0,1942,98052,47.6417,-122.109
2014-07-25,597750.0,4.0,2.5,2310.0,9624.0,2.0,0.0,0.0,3,8,0,1984,98027,47.5386,-122.053
2015-03-04,570000.0,3.0,1.75,1260.0,3328.0,1.0,0.0,0.0,5,6,1,1905,98103,47.6823,-122.34899999999999
2014-09-16,272500.0,3.0,1.75,1540.0,12600.0,1.0,0.0,0.0,4,7,0,1980,98038,47.3624,-122.031
2014-11-24,329950.0,3.0,1.75,2080.0,5969.0,1.0,0.0,2.0,3,7,1,1971,98108,47.5474,-122.295
2014-10-28,480000.0,4.0,2.5,3230.0,16171.0,2.0,0.0,0.0,3,9,1,2001,98001,47.3183,-122.25299999999999
2014-11-21,740500.0,3.0,3.5,4380.0,6350.0,2.0,0.0,0.0,3,8,0,1900,98117,47.6981,-122.368
2014-06-26,518500.0,3.0,3.5,1590.0,1102.0,3.0,0.0,0.0,3,8,0,2010,98103,47.6824,-122.34700000000001
2014-06-23,205425.0,2.0,1.0,880.0,6780.0,1.0,0.0,0.0,4,6,0,1945,98178,47.5009,-122.24799999999999
2015-01-08,171800.0,4.0,2.0,1570.0,9600.0,1.0,0.0,0.0,3,6,0,1950,98168,47.4965,-122.303
2015-05-11,535000.0,4.0,1.0,1610.0,2982.0,1.5,0.0,0.0,4,7,0,1925,98144,47.586999999999996,-122.294
2015-01-02,660000.0,3.0,2.5,2400.0,6474.0,1.0,0.0,2.0,3,8,1,1964,98177,47.7728,-122.38600000000001
2014-11-19,391500.0,3.0,2.0,1450.0,9132.0,1.0,0.0,0.0,3,7,0,1987,98034,47.7288,-122.226
2015-04-06,395000.0,2.0,1.0,770.0,6000.0,1.0,0.0,0.0,3,6,0,1953,98117,47.6999,-122.36399999999999
2014-11-04,445000.0,4.0,1.75,2100.0,4400.0,1.5,0.0,0.0,5,7,1,1924,98118,47.5299,-122.266
2014-06-18,770000.0,3.0,2.25,2910.0,10204.0,2.0,0.0,0.0,3,9,0,1990,98052,47.6897,-122.098
2015-03-02,1450000.0,4.0,2.75,2750.0,17789.0,1.5,0.0,0.0,3,8,1,1914,98004,47.6141,-122.212
2014-07-17,445000.0,3.0,2.25,2100.0,8201.0,1.0,0.0,2.0,3,8,1,1967,98178,47.5091,-122.244
2014-07-17,260000.0,4.0,2.25,2160.0,8811.0,1.0,0.0,0.0,3,8,1,1978,98023,47.3129,-122.39
2014-06-13,822500.0,5.0,3.5,2320.0,4960.0,2.0,0.0,0.0,5,7,1,1926,98103,47.6763,-122.352
2015-04-06,430000.0,4.0,2.5,2070.0,4310.0,2.0,0.0,0.0,3,7,0,2004,98065,47.5319,-121.85
2015-01-05,212000.0,3.0,1.75,1060.0,7875.0,1.0,0.0,0.0,4,7,0,1986,98092,47.2761,-122.152
2015-04-28,660500.0,4.0,2.25,2010.0,9603.0,1.0,0.0,0.0,3,8,1,1986,98027,47.5343,-122.054
2014-05-12,453246.0,3.0,2.5,2010.0,2287.0,2.0,0.0,0.0,3,8,1,2014,98029,47.5517,-121.99799999999999
2015-01-26,675000.0,4.0,3.5,2140.0,2278.0,3.0,0.0,0.0,3,9,0,2005,98107,47.6734,-122.38
2014-08-13,199000.0,3.0,1.75,1320.0,17390.0,1.0,0.0,0.0,4,7,0,1956,98003,47.3257,-122.296
2014-08-05,220000.0,4.0,1.75,2020.0,7840.0,1.0,0.0,0.0,3,7,1,1968,98003,47.3309,-122.29899999999999
2014-05-29,452000.0,4.0,2.25,2590.0,10002.0,1.0,0.0,0.0,4,8,1,1968,98028,47.7689,-122.266
2014-07-07,382500.0,2.0,1.0,1190.0,4440.0,1.0,0.0,0.0,3,6,0,1981,98125,47.7135,-122.287
